Division,District,2020/04/7,2020/04/8,2020/04/9,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15,2020/04/16,2020/04/17,2020/04/18,2020/04/19,2020/04/20,2020/04/21
Dhaka,Munshiganj,0,0,0,8,11,14,17,21,21,26,27,33,33,33,54
Dhaka,Rajbari,0,1,1,1,6,6,6,6,6,7,7,7,7,8,10
Dhaka,Madaripur,11,11,11,13,13,19,19,19,19,23,23,25,26,25,26
Dhaka,Gopalganj,0,0,0,2,2,3,3,9,9,17,17,21,21,30,30
Dhaka,Faridpur,0,0,0,0,0,0,0,2,2,2,2,4,4,6,5
Rangpur,Panchagarh,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Rangpur,Dinajpur,0,0,0,0,0,0,0,0,7,8,8,9,10,11,11
Rangpur,Lalmonirhat,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
Rangpur,Nilphamari,0,1,1,2,2,3,3,4,6,6,6,9,9,9,9
Rangpur,Gaibandha,5,5,8,5,5,6,6,8,12,13,12,12,12,13,13
Rangpur,Thakurgaon,0,0,0,0,0,3,3,3,3,3,3,5,6,6,6
Rangpur,Rangpur,1,1,2,2,2,2,2,2,2,3,3,3,5,6,7
Rangpur,Kurigram,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3
Mymensingh,Sherpur,1,1,2,2,2,2,2,3,3,3,5,11,11,13,19
Mymensingh,Mymensingh,0,0,4,5,5,5,5,7,7,9,18,19,21,33,40
Mymensingh,Jamalpur,2,2,3,3,3,6,6,9,12,12,12,17,20,21,22
Mymensingh,Netrokona,0,0,0,0,1,1,1,2,4,6,7,12,14,14,18
