Division,District,2020/04/7,2020/04/8,2020/04/9,2020/04/10,2020/04/11,2020/04/12,2020/04/13,2020/04/14,2020/04/15,2020/04/16,2020/04/17,2020/04/18,2020/04/19,2020/04/20,2020/04/21,2020/04/22,2020/04/23,2020/04/24,2020/04/25,2020/04/26,2020/04/27,2020/04/28,2020/04/29,2020/04/30,2020/05/01,2020/05/02,2020/05/03,2020/05/04,2020/05/05,2020/05/06,2020/05/07
Rajshahi,Natore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,9,9,9,9,10,11,11
Rajshahi,Joypurhat,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,4,4,6,10,21,28,32,33,33,33,33,34,34,37
Rajshahi,Chapainawabganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,2,2,2,2,2,2,2,2,11
Rajshahi,Naogaon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,1,0,15,15,15,16,16,16,17,17,17
Khulna,Jashore,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,7,7,22,26,36,62,63,63,63,63,63,74,75,75
Khulna,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,4
Khulna,Meherpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4
Khulna,Narail,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,7,7,7,7,10,13,13,13,13,13,13,13,13,13,13,13
Khulna,Chuadanga,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,8,8,8,8,8,8,9,9,9,9,9,10,15,15
Khulna,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,10,10,13,15,16,16,16,16,16,18,20
Khulna,Magura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,4,6,7,8,8,8,8,7,8,8
Khulna,Khulna,0,0,0,0,0,0,0,1,1,1,6,1,1,3,3,4,6,7,7,7,8,8,11,11,13,13,16,16,17,17,20
Khulna,Bagerhat,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Khulna,Jhenaidah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,19,19,19,19,19,19,19,27,33,33
Barishal,Jhalakathi,0,0,0,0,0,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,8,8,8,10,10,10,10,13
Barishal,Patuakhali,0,0,0,1,1,1,2,2,2,2,2,2,2,2,7,10,10,16,19,20,20,23,23,27,28,28,28,28,28,28,28
Barishal,Pirojpur,0,0,0,0,0,0,0,1,4,4,4,4,4,5,5,5,5,5,7,7,7,8,8,9,9,9,10,10,0,0,0
Barishal,Barishal,0,0,0,0,0,0,2,7,10,12,17,18,21,24,32,34,34,35,38,38,38,40,40,40,40,40,41,41,41,44,47
Barishal,Bhola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,5,5,5,5,5,5,5,6,7
Barishal,Barguna,0,0,0,0,1,3,3,3,4,4,5,9,10,12,17,17,20,23,23,30,30,30,30,30,33,33,36,36,33,33,34
Sylhet,Sylhet,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,6,11,11,12,14,16,16,18,18,18,18,18,24,27,27
Sylhet,Moulvibazar,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,4,6,12,12,12,12,12,17,17,19,21,29,29
